"","index","Cuzco","angertreat","anxietytreat","calmtreat","outvote1","outvote2","age","triste","feliz","enojado","asqueado","preocupado","con.miedo","con.placer","orgulloso","desesperado","risk","socioeconentusiasmo","socioeconenojo","socioeconpreocupacion","socioecontranquilidad","socioeconmiedo","socioeconns","corruptentusiasmo","corruptenojo","corruptpreocupacion","corrupttranquilidad","corruptmiedo","corruptns","pocketeconentusiasmo","pocketeconenojo","pocketeconpreocupacion","pocketecontranquilidad","pocketeconmiedo","pocketeconns","crimeentusiasmo","crimeenojo","crimepreocupacion","crimetranquilidad","crimemiedo","crimens","repentusiasmo","repenojo","reppreocupacion","reptranquilidad","repmiedo","repns","corruptfreq","corruptresp","crimefreq","crimeresp","unempfreq","unempresp","povertyfreq","povertyresp","edqual","edresp","govtcapac","govtcapacresp","participrepresent","leftright","diazleftright","hurtadoleftright","partyid","intefficacy","extefficacy","tvnews","newspaper","radionews","edlevel","classid","treatment","outsidervote","simpletreat"
"47",212,1,1,NA,NA,1,NA,26,0,1,0,0,1,0,0,1,0,60,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,2,4,3,4,3,3,3,4,3,3,2,2,3,3,5,5,2,2,1,2,3,8,1,"anger",0,1
"48",385,1,1,NA,NA,1,NA,26,0,1,0,0,1,0,0,1,0,60,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,2,4,3,4,3,3,3,4,3,3,2,2,3,3,5,5,2,2,1,2,3,8,1,"anger",0,1
"49",127,0,1,NA,NA,NA,1,29,0,0,0,0,1,0,0,0,1,61,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4,2,4,3,2,3,3,1,2,3,3,2,2,6,6,6,9,2,2,1,1,1,6,2,"anger",0,1
"50",413,1,1,NA,NA,1,NA,27,1,0,0,0,1,0,0,0,0,70,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,2,4,3,3,3,3,3,4,3,2,4,2,6,6,6,8,3,2,2,4,2,6,2,"anger",0,1
"51",66,1,1,NA,NA,NA,1,24,0,0,1,0,0,0,0,0,0,90,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,4,3,3,3,3,3,4,3,2,2,2,6,4,2,8,1,3,1,3,1,8,2,"anger",0,1
"52",38,1,1,NA,NA,NA,1,28,0,0,0,0,1,0,0,0,0,100,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,3,3,3,3,3,3,4,3,3,3,2,6,6,6,3,2,2,1,1,2,8,2,"anger",0,1
"53",415,1,1,NA,NA,NA,1,28,0,0,0,0,1,0,0,0,0,100,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,3,3,3,3,3,3,4,3,3,3,2,6,6,6,3,2,2,1,1,2,8,2,"anger",0,1
"54",116,1,1,NA,NA,NA,1,28,0,0,0,1,0,0,0,0,0,NA,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,2,3,2,3,1,3,1,6,3,2,2,1,6,2,3,9,3,3,4,4,3,8,4,"anger",0,1
"55",133,1,1,NA,NA,NA,1,28,0,0,0,1,0,0,0,0,0,NA,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,2,3,2,3,1,3,1,6,3,2,2,1,6,2,3,9,3,3,4,4,3,8,1,"anger",0,1
"56",185,0,1,NA,NA,NA,1,23,0,1,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,2,3,3,2,3,3,4,3,4,2,1,4,3,3,9,1,2,2,3,4,7,3,"anger",0,1
"57",206,0,1,NA,NA,NA,1,23,0,1,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,2,3,3,2,3,3,4,3,4,2,1,4,3,3,9,1,2,2,3,4,7,3,"anger",0,1
"58",409,1,1,NA,NA,1,NA,29,0,0,1,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,4,3,3,3,3,3,6,3,2,2,2,2,6,6,2,1,4,1,2,1,5,1,"anger",0,1
"59",447,0,1,NA,NA,1,NA,26,0,1,0,0,1,0,0,1,0,NA,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,2,2,4,3,3,3,3,3,6,3,3,2,1,2,2,3,9,4,3,2,2,2,6,2,"anger",0,1
"60",28,1,1,NA,NA,2,NA,40,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,3,4,3,3,3,3,3,3,3,4,3,1,6,1,5,4,3,2,1,2,2,8,2,"anger",1,1
"61",30,1,1,NA,NA,NA,2,42,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,3,4,3,3,3,3,3,3,3,4,3,1,6,2,5,5,3,2,2,2,2,8,2,"anger",1,1
"62",55,1,1,NA,NA,2,NA,40,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,3,4,3,3,3,3,3,3,3,4,3,1,6,1,5,4,3,2,1,2,2,8,1,"anger",1,1
"63",193,0,1,NA,NA,2,NA,56,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,2,2,4,3,4,3,3,3,6,3,2,2,2,1,4,2,9,1,1,1,4,4,7,2,"anger",1,1
"64",348,1,1,NA,NA,NA,2,42,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,3,4,3,3,3,3,3,3,3,4,3,1,6,2,5,5,3,2,2,2,2,8,2,"anger",1,1
"65",52,1,1,NA,NA,NA,2,39,0,1,0,0,0,0,0,0,0,9,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,3,3,4,3,2,3,4,4,3,2,4,1,6,6,4,5,3,4,2,2,2,8,2,"anger",1,1
"66",360,0,1,NA,NA,2,NA,23,0,0,0,0,0,0,0,1,0,14,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1,2,3,2,3,3,3,6,3,3,1,1,6,3,5,9,1,4,1,1,2,8,2,"anger",1,1
